TICKER,TICKER_NM,TICKER_TYPE,TICKER_STAT
000020,동화약품,0,정상
000040,KR모터스,0,정상
000050,경방,0,정상
000070,삼양홀딩스,0,정상
000075,삼양홀딩스우,0,정상
000080,하이트진로,0,정상
000087,하이트진로2우B,0,정상
000100,유한양행,0,정상
000105,유한양행우,0,정상
000120,CJ대한통운,0,정상
000140,하이트진로홀딩스,0,정상
000145,하이트진로홀딩스우,0,정상
000150,두산,0,정상
000155,두산우,0,정상
000157,두산2우B,0,정상
000180,성창기업지주,0,정상
000210,DL,0,정상
000215,DL우,0,정상
000220,유유제약,0,정상
000225,유유제약1우,0,정상
000227,유유제약2우B,0,정상
000230,일동홀딩스,0,정상
000240,한국앤컴퍼니,0,정상
000270,기아,0,정상
000300,대유플러스,0,정상
000320,노루홀딩스,0,정상
000325,노루홀딩스우,0,정상
000370,한화손해보험,0,정상
000390,삼화페인트,0,정상
000400,롯데손해보험,0,정상
000430,대원강업,0,정상
000480,조선내화,0,정상
000490,대동,0,정상
000500,가온전선,0,정상
000520,삼일제약,0,정상
000540,흥국화재,0,정상
000545,흥국화재우,0,정상
000547,흥국화재2우B,0,정상
000590,CS홀딩스,0,정상
000640,동아쏘시오홀딩스,0,정상
000650,천일고속,0,정상
000660,SK하이닉스,0,정상
000670,영풍,0,정상
000680,LS네트웍스,0,정상
000700,유수홀딩스,0,정상
000720,현대건설,0,정상
000725,현대건설우,0,정상
000760,이화산업,0,정상
000810,삼성화재,0,정상
000815,삼성화재우,0,정상
000850,화천기공,0,정상
000860,강남제비스코,0,정상
000880,한화,0,정상
000885,한화우,0,정상
00088K,한화3우B,0,정상
000890,보해양조,0,정상
000910,유니온,0,정상
000950,전방,0,정상
000970,한국주철관,0,정상
000990,DB하이텍,0,정상
000995,DB하이텍1우,0,정상
001020,페이퍼코리아,0,정상
001040,CJ,0,정상
001045,CJ우,0,정상
00104K,CJ4우(전환),0,정상
001060,JW중외제약,0,정상
001065,JW중외제약우,0,정상
001067,JW중외제약2우B,0,정상
001070,대한방직,0,정상
001080,만호제강,0,정상
001120,LX인터내셔널,0,정상
001130,대한제분,0,정상
001140,국보,0,정상
001200,유진투자증권,0,정상
001210,금호전기,0,정상
001230,동국제강,0,정상
001250,GS글로벌,0,정상
001260,남광토건,0,정상
001270,부국증권,0,정상
001275,부국증권우,0,정상
001290,상상인증권,0,정상
001340,백광산업,0,정상
001360,삼성제약,0,정상
001380,SG글로벌,0,정상
001390,KG케미칼,0,정상
001420,태원물산,0,정상
001430,세아베스틸지주,0,정상
001440,대한전선,0,정상
001450,현대해상,0,정상
001460,BYC,0,정상
001465,BYC우,0,정상
001470,삼부토건,0,정상
001500,현대차증권,0,정상
001510,SK증권,0,정상
001515,SK증권우,0,정상
001520,동양,0,정상
001525,동양우,0,정상
001527,동양2우B,0,정상
001530,DI동일,0,정상
001550,조비,0,정상
001560,제일연마,0,정상
001570,금양,0,정상
001620,케이비아이동국실업,0,정상
001630,종근당홀딩스,0,정상
001680,대상,0,정상
001685,대상우,0,정상
001720,신영증권,0,정상
001725,신영증권우,0,정상
001740,SK네트웍스,0,정상
